Track Name,Album Release Decade,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Artist Popularity,Track URI,Track Popularity
Trumpsta (Djuro Remix) [feat. Treyy G],10s,"melbourne bounce, melbourne bounce international, progressive electro house",0.973,0.587,1.0,-7.014,1.0,0.242,0.00207,0.38,0.257,0.195,128.0,4.0,40,spotify:track:3YcXXjmC9cM5Y2x3jUps0p,0
Moonlight Shadow,10s,"hands up, italo dance",0.577,0.952,0.0,-5.172,1.0,0.0404,0.0529,0.00603,0.31,0.808,150.02,4.0,61,spotify:track:6T9vhWadqtG3J3jfYf8kcI,36
Colours Of The Rainbow,10s,"hands up, italo dance",0.616,0.946,0.0,-6.392,0.0,0.059,0.00341,0.000188,0.168,0.744,140.045,4.0,61,spotify:track:4fWcyB6ik13xv6QFmORi0H,31
Honey,10s,"finnish dance pop, finnish hip hop, finnish pop",0.68,0.633,3.0,-5.236,0.0,0.0344,0.0773,1.57e-06,0.183,0.501,149.922,4.0,45,spotify:track:6d0eTPJ3JZTwOAwLdl0hOJ,0
Pämppää,10s,"finnish dance pop, finnish hip hop, finnish pop, suomi rock",0.8,0.887,9.0,-5.038,1.0,0.0632,0.113,0.0,0.154,0.526,109.988,4.0,48,spotify:track:6xQjgKUjjKgLDfOibSRyRM,33
Viva La Vida,00s,"permanent wave, pop",0.486,0.617,5.0,-7.115,0.0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,4.0,88,spotify:track:1mea3bSkSGXuIRvnydlB5b,87
If I Lose Myself,10s,"piano rock, pop",0.485,0.699,2.0,-6.017,1.0,0.0479,0.096,0.0,0.109,0.242,140.096,4.0,83,spotify:track:0ett0qCHbl0vdSRFhRSkMc,51
In2,10s,"afroswing, grime, uk hip hop",0.553,0.662,8.0,-6.454,0.0,0.129,0.342,0.0,0.141,0.561,98.368,4.0,54,spotify:track:3WEmAizxrtQwXEJQRwCrK1,52
Somebody to Die For,10s,"metropopolis, neo-synthpop",0.426,0.599,11.0,-7.737,1.0,0.0282,0.0198,0.00142,0.366,0.102,91.995,4.0,62,spotify:track:0GDz2tPdh6FbxJxM75SQB4,46
Jai Ho! (You Are My Destiny),00s,filmi,0.66,0.936,11.0,-3.931,1.0,0.0624,0.0531,2.46e-06,0.082,0.908,136.19,4.0,79,spotify:track:1domCrjxwdTsPWqVn2Ivc0,0
